"x"
5
3
9
11
6
5
8
4
8
8
8
7
5
12
8
4
12
7
8
10
10
11
13
9
9
10
6
8
4
11
15
14
14
4
16
14
9
10
6
7
5
7
7
8
4
7
9
10
8
11
7
7
7
10
13
9
6
10
11
10
8
11
9
8
12
8
9
11
10
7
13
11
10
8
8
10
7
11
9
10
6
6
12
5
6
12
9
10
3
11
14
4
8
8
10
4
13
9
10
5
8
8
8
16
8
5
10
11
10
7
6
10
10
11
10
8
9
6
11
7
13
12
7
5
9
12
12
8
11
9
7
9
9
9
14
9
8
7
7
8
7
9
8
10
6
11
10
9
8
5
8
11
7
16
12
8
7
7
9
14
8
10
8
7
8
11
9
6
14
11
9
8
9
7
7
6
5
8
8
4
8
9
15
7
11
14
15
13
9
12
9
9
8
10
9
10
11
8
11
9
8
6
11
8
4
9
4
8
7
14
8
11
9
10
10
6
16
12
4
11
9
5
6
10
12
8
8
11
11
7
9
8
10
9
6
5
9
9
12
11
13
14
10
12
13
10
11
6
8
8
12
12
13
7
14
9
6
7
7
4
7
7
6
8
7
13
5
6
8
9
5
11
6
10
13
11
8
8
6
10
11
13
9
10
9
9
9
6
17
5
9
7
10
7
7
10
7
7
7
6
8
4
9
9
7
9
8
8
5
5
7
12
6
9
10
8
11
11
11
12
11
8
10
8
12
13
9
8
8
10
9
6
7
6
4
9
11
8
7
8
9
4
7
11
10
3
7
5
6
12
9
9
14
8
10
4
13
5
6
6
12
13
7
14
8
9
9
10
7
11
7
6
11
7
5
8
7
3
7
9
5
8
5
17
4
11
11
5
7
4
7
8
10
6
7
8
12
10
5
6
9
7
10
7
10
9
11
7
11
9
14
10
11
5
8
11
8
9
15
9
12
12
4
8
12
11
6
12
5
6
9
16
11
7
14
6
8
7
7
12
5
11
9
8
8
9
6
8
3
13
6
4
13
9
15
8
10
8
6
3
7
9
8
11
11
9
9
13
8
2
8
4
12
8
5
11
9
5
7
7
12
7
8
8
2
12
5
12
9
9
11
9
6
11
10
6
9
7
8
6
11
10
4
9
5
8
6
8
10
14
5
12
5
7
9
7
8
7
9
11
8
6
6
13
8
4
7
7
8
12
4
6
5
12
5
4
10
12
9
4
11
6
10
8
9
4
11
5
9
6
8
10
8
8
9
8
10
12
4
9
9
10
8
11
12
7
11
9
8
9
7
5
6
10
13
9
8
13
9
11
4
7
8
9
9
7
10
7
5
7
13
9
11
11
9
5
14
16
7
11
6
7
5
5
4
10
13
6
6
9
10
11
10
8
7
6
6
11
10
6
10
6
7
10
15
8
9
6
4
12
11
13
13
3
6
7
10
5
9
8
16
5
4
9
6
7
6
9
10
9
7
5
6
8
9
11
9
10
6
11
7
6
8
17
3
10
11
9
9
11
9
11
10
10
6
5
4
7
4
9
9
6
7
4
9
9
8
10
11
9
12
9
9
6
8
7
11
1
7
13
7
8
11
7
4
12
13
11
14
5
5
6
14
8
10
6
9
7
7
3
7
10
10
13
11
6
6
10
10
4
6
14
3
9
7
7
7
4
6
15
4
8
6
7
11
8
12
10
12
8
7
7
15
8
14
4
8
7
7
12
5
10
14
7
8
11
14
8
10
5
10
4
8
8
8
12
7
10
8
12
8
6
16
12
12
9
9
6
11
12
8
5
10
11
6
7
9
13
6
11
8
6
6
9
5
11
12
6
9
13
6
7
10
8
8
8
6
6
8
11
9
9
13
12
10
4
11
11
6
11
11
10
6
6
7
9
14
11
8
7
8
10
11
5
7
9
14
14
9
6
7
12
13
7
12
11
9
10
11
8
11
7
8
12
4
7
5
7
7
9
6
8
14
12
7
7
8
15
6
17
10
6
12
3
10
10
9
11
5
7
11
13
12
5
10
6
5
4
8
6
8
10
13
9
12
12
12
9
8
10
8
11
13
7
7
8
7
11
7
14
9
9
9
8
6
9
10
10
7
13
3
17
7
8
15
10
5
11
11
7
7
7
7
8
1
8
10
7
6
8
9
9
8
5
9
11
9
8
7
13
7
10
7
10
11
13
8
8
13
12
5
5
7
10
13
3
8
7
4
6
10
11
5
8
10
10
12
6
6
6
7
10
7
7
14
6
6
13
8
6
